idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,cloud_preferida,cargo,sql,nosql
22.0,2,4,1,1,20,2,2,2,5,1,11,3,0
20.0,2,4,1,1,7,2,9,2,5,4,-1,2,1
45.0,1,4,1,1,15,3,1,2,5,4,11,2,2
27.0,1,4,1,1,24,3,2,7,5,1,5,1,0
28.0,2,4,1,1,15,3,1,4,5,3,11,0,1
,2,4,1,1,18,1,9,4,1,2,4,1,0
26.0,2,4,1,1,24,3,2,2,1,1,11,1,0
,2,4,1,1,24,3,9,4,5,4,11,4,1
26.0,2,4,1,1,24,2,1,7,5,4,2,1,4
27.0,2,1,1,1,23,1,1,3,5,1,11,1,0
40.0,2,4,1,1,24,1,1,3,5,4,1,1,1
32.0,2,4,1,1,12,1,9,7,5,3,2,2,0
28.0,2,4,1,1,24,3,2,1,5,4,1,1,1
39.0,2,1,1,1,24,3,1,7,4,2,-1,1,0
47.0,1,4,1,1,20,1,3,3,5,2,1,1,1
46.0,2,1,1,1,4,3,2,4,4,1,5,1,0
25.0,2,4,1,1,12,1,9,7,5,4,11,0,1
22.0,2,-1,1,1,24,2,1,2,1,4,3,1,0
31.0,1,4,1,1,18,3,1,1,5,1,-1,1,0
27.0,2,1,1,1,15,1,2,1,5,1,1,3,0
30.0,2,2,1,1,24,3,1,7,5,4,1,0,2
29.0,2,4,1,1,12,2,9,7,5,3,-1,1,0
26.0,2,4,1,1,24,1,1,7,5,3,2,2,2
37.0,2,4,1,1,12,1,9,5,5,4,3,3,0
30.0,2,4,1,1,15,1,2,1,5,3,3,1,0
29.0,2,4,1,1,23,5,-1,7,5,2,2,1,0
37.0,2,4,1,1,12,1,4,7,5,1,2,2,1
32.0,2,4,1,1,12,1,9,5,-1,3,3,1,0
27.0,1,1,1,1,24,3,1,7,5,4,1,0,0
37.0,2,4,1,1,6,1,9,3,3,4,2,2,3
27.0,2,4,1,1,24,2,9,7,5,3,2,1,1
28.0,2,1,1,1,12,3,2,7,5,3,1,3,0
28.0,2,1,1,1,24,3,9,2,5,1,11,2,0
29.0,2,4,1,1,24,3,1,1,5,4,11,1,1
22.0,2,4,1,1,24,2,8,1,5,4,4,0,0
30.0,2,4,1,1,24,1,4,7,5,4,3,3,0
29.0,2,4,1,1,5,1,6,1,5,2,1,4,1
,2,1,1,1,24,3,2,4,5,3,6,1,0
29.0,2,4,1,1,24,1,4,3,5,3,-1,0,1
35.0,2,-1,1,1,24,3,9,5,5,1,3,1,0
28.0,2,4,1,1,24,1,1,7,5,4,2,2,1
27.0,2,2,1,1,25,1,2,7,5,1,1,0,1
26.0,1,1,1,1,5,1,1,2,5,2,4,0,0
26.0,2,4,1,1,12,3,9,7,5,4,4,3,0
38.0,2,4,1,1,4,2,9,7,5,4,2,1,5
43.0,1,3,1,1,12,2,9,2,5,2,4,2,0
24.0,1,2,1,1,8,3,2,6,1,1,4,0,0
22.0,2,2,1,1,3,3,9,7,5,3,3,0,1
29.0,1,4,1,1,20,3,9,1,5,2,2,5,3
26.0,1,1,1,1,15,3,1,7,5,3,11,1,0
34.0,1,4,1,1,20,1,6,1,5,1,11,1,0
29.0,1,4,1,1,20,1,9,4,5,3,2,1,0
31.0,2,4,1,1,24,1,1,1,5,3,3,1,0
