idade,genero,etnia,pcd,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
27,0,3,0,24,4,3,1,0,1,0,10
24,0,1,0,1,4,0,2,0,4,2,4
31,0,1,0,24,4,2,0,0,2,0,7
24,1,2,0,24,4,0,1,0,4,1,2
31,0,0,0,23,5,8,2,0,11,2,3
33,0,1,0,6,4,8,1,0,3,2,10
21,0,0,0,6,5,1,1,0,7,0,0
30,0,1,0,7,4,3,1,0,5,1,5
30,0,4,0,24,5,0,6,0,3,0,3
33,0,1,0,24,4,3,1,0,10,0,1
34,0,5,0,25,4,0,4,0,1,1,10
27,0,0,0,24,6,2,1,0,1,0,1
26,0,0,0,24,6,6,0,0,4,0,0
28,0,1,0,20,5,1,1,0,4,0,4
31,0,0,0,24,5,1,5,0,3,0,4
33,0,0,0,12,4,0,6,0,11,2,3
37,0,0,0,20,5,0,1,3,5,2,1
28,1,0,0,12,4,0,4,0,4,3,2
50,0,0,0,20,4,0,6,0,4,1,4
31,0,0,0,20,4,0,2,0,11,3,1
25,0,0,0,24,5,7,4,0,2,2,4
30,0,1,0,24,6,0,3,0,4,3,0
33,1,1,0,24,5,1,6,0,5,1,1
36,0,0,0,24,4,0,5,0,13,3,0
30,1,0,0,23,4,3,0,0,8,0,3
22,0,2,0,16,5,0,1,0,6,1,1
25,0,0,0,7,4,2,1,0,4,2,4
42,0,0,0,7,6,7,6,0,5,2,5
27,1,0,0,18,4,0,1,0,11,3,4
26,0,0,0,24,4,2,1,0,2,0,0
30,1,0,0,20,5,1,1,0,5,2,10
24,1,3,0,12,5,4,1,0,4,1,5
29,0,0,0,24,4,0,5,0,3,1,10
26,0,0,0,12,4,3,0,0,5,2,5
29,0,0,0,24,5,0,5,1,3,2,2
37,0,0,0,24,4,0,6,0,7,2,5
31,0,2,0,5,4,0,2,0,8,0,1
29,1,1,0,18,4,0,1,1,7,1,3
25,0,0,0,24,4,2,0,0,0,1,4
27,0,0,0,18,6,1,4,0,8,2,6
29,1,0,0,24,5,0,5,2,11,0,7
42,0,1,0,4,5,0,6,0,4,3,4
32,0,0,0,17,6,0,3,0,2,1,5
45,1,0,0,6,6,0,2,0,2,2,1
38,0,0,0,12,5,1,6,2,3,2,2
41,0,0,0,12,5,2,1,0,3,2,1
26,0,0,0,24,5,3,4,0,2,3,1
30,0,0,0,24,5,3,3,0,2,2,8
28,0,0,0,24,4,0,4,0,9,3,9
23,0,0,0,20,5,0,1,0,2,2,1
25,0,1,0,12,5,1,0,5,0,3,4
38,0,0,0,18,5,7,0,0,1,0,4
32,0,1,0,8,4,0,1,0,1,1,8
35,0,1,0,24,4,0,3,0,2,1,4
24,1,0,0,24,4,2,1,0,4,0,2
25,0,2,0,15,5,3,0,0,4,0,1
32,0,1,0,24,4,3,3,0,4,3,4
33,0,1,0,15,5,2,0,0,3,1,4
24,0,0,0,15,4,3,1,0,0,1,4
28,1,1,0,18,4,2,1,0,3,1,1
24,0,1,0,24,4,1,1,0,7,1,3
31,0,0,0,18,5,6,1,0,5,1,1
34,1,0,0,24,4,3,2,0,7,1,10
38,0,0,0,24,5,8,5,0,8,1,4
43,0,0,0,24,5,5,2,0,2,2,6
50,0,0,0,24,5,3,1,0,4,1,5
22,0,1,0,12,5,8,0,2,1,1,6
33,1,0,0,18,4,3,1,0,7,0,7
26,0,0,0,15,5,2,1,0,1,1,1
28,0,1,0,12,4,2,1,0,4,0,1
38,0,1,0,15,5,3,0,0,4,1,4
45,1,0,0,24,5,0,6,0,7,1,5
32,0,0,0,24,5,0,1,0,0,2,0
22,0,0,0,23,4,0,0,0,1,1,4
30,0,3,0,24,5,2,1,0,6,1,2
31,0,1,0,17,5,0,0,0,3,3,0
31,1,0,0,5,4,8,1,0,4,0,6
34,0,0,0,23,5,2,1,0,8,1,0
25,0,1,0,24,4,0,1,0,10,0,0
32,1,1,0,23,4,5,0,0,4,2,6
35,1,1,0,24,5,6,1,0,8,2,4
36,0,0,0,24,4,0,4,0,13,3,7
34,0,0,0,21,6,0,5,0,0,1,10
36,1,3,0,24,6,6,0,0,3,3,1
35,0,0,0,15,5,6,0,0,1,0,4
54,0,1,0,24,5,2,6,0,6,2,2
37,0,0,0,15,5,6,6,0,6,2,8
44,0,0,0,8,4,3,0,0,0,0,8
40,0,1,0,6,5,0,1,0,3,2,3
25,0,2,0,24,4,0,5,0,4,0,10
23,0,3,0,24,4,7,1,0,11,2,4
38,1,0,0,15,6,2,1,0,4,1,0
31,0,1,0,20,5,2,0,0,11,2,0
29,0,0,0,24,4,2,1,0,9,1,0
38,1,0,0,24,5,0,0,0,11,3,2
41,0,0,0,12,5,7,2,2,5,1,9
32,0,0,0,20,5,0,1,3,5,2,1
30,0,0,0,24,4,2,1,0,1,0,1
22,0,1,0,24,5,1,0,0,2,1,4
26,1,0,0,12,4,0,4,0,4,3,2
25,0,1,0,24,4,2,0,0,6,0,1
32,0,1,0,18,5,3,1,0,10,3,1
29,0,0,0,16,4,0,0,0,0,1,8
32,0,0,0,24,5,2,1,0,4,0,4
41,0,0,0,12,4,0,1,0,2,3,1
25,0,3,0,24,4,0,1,0,6,0,4
28,1,1,0,14,4,0,1,0,6,0,4
25,0,2,0,18,4,1,1,0,7,2,0
37,0,1,0,24,4,2,0,0,4,1,1
35,1,0,0,25,4,3,1,0,9,3,7
29,0,0,0,24,4,3,1,0,4,2,5
22,1,0,0,24,4,3,1,0,4,1,0
25,0,0,0,24,5,2,1,0,10,0,0
32,0,1,0,24,5,1,6,1,2,3,0
35,0,2,0,24,5,0,3,0,2,2,1
29,1,1,0,6,4,0,6,0,2,3,10
34,0,0,0,15,5,3,4,0,11,2,2
31,0,1,0,15,5,0,3,0,2,2,3
45,0,0,0,24,5,2,3,0,2,3,0
34,0,1,0,18,5,0,2,0,3,2,3
27,0,0,0,18,6,2,1,0,4,3,0
25,0,0,0,23,4,2,1,0,4,0,8
26,0,0,0,4,4,3,0,0,1,0,6
23,0,1,0,5,4,2,0,0,1,3,4
26,1,0,0,8,5,0,1,0,2,0,4
49,1,0,0,15,5,0,6,0,3,1,3
37,0,0,0,24,6,0,1,0,2,3,0
35,0,1,0,24,5,7,6,0,4,2,1
37,0,0,0,24,4,3,2,0,7,0,10
39,0,0,0,20,4,3,0,1,6,1,5
21,0,1,0,13,5,1,0,0,2,0,3
32,0,0,0,24,4,5,0,0,0,3,0
46,1,0,0,24,5,0,5,0,1,3,10
30,0,1,0,18,5,0,6,0,4,1,6
26,0,0,0,24,4,6,4,0,1,1,6
41,1,2,0,16,5,8,1,0,2,1,2
45,0,0,0,24,6,1,6,0,8,1,6
32,0,0,0,15,4,0,1,0,1,3,1
36,0,0,0,6,4,0,0,0,4,2,10
26,0,1,0,24,6,2,4,0,12,3,1
22,1,0,0,20,6,7,1,0,7,1,4
28,1,0,0,15,5,0,1,0,4,1,0
29,1,0,0,18,5,2,0,0,4,2,3
35,0,0,0,24,4,2,0,0,4,2,5
25,0,0,0,24,5,3,2,0,4,1,2
32,1,2,0,16,5,7,1,0,6,0,1
48,0,1,1,24,5,8,2,1,0,0,0
33,1,1,0,20,5,0,6,2,2,0,7
35,1,1,0,12,5,3,1,0,2,2,1
27,1,0,0,24,4,2,1,0,7,0,1
37,0,1,0,9,6,0,1,0,1,0,6
32,0,0,0,18,5,3,0,0,5,1,10
38,1,0,0,24,5,4,0,0,11,3,0
54,0,1,0,4,5,1,6,1,5,3,6
39,0,1,0,13,5,3,2,0,1,0,0
43,0,1,0,24,5,0,0,5,2,3,3
35,0,2,0,12,4,3,0,0,4,0,10
31,0,0,0,24,4,2,1,0,11,3,4
23,0,0,0,24,4,2,0,0,4,0,2
41,0,0,0,24,6,0,1,0,3,3,8
23,0,2,0,16,5,3,0,0,5,3,1
37,0,1,0,24,6,6,2,0,3,2,4
54,1,1,0,12,5,1,6,0,3,2,7
31,1,0,0,19,4,2,1,0,2,2,4
29,0,0,0,20,4,3,0,0,12,2,3
27,0,0,0,24,4,2,0,0,5,0,0
35,0,0,0,24,4,2,1,0,3,3,2
22,0,0,0,20,5,3,0,0,4,1,1
20,0,0,0,7,4,0,0,0,6,0,8
45,1,0,0,15,4,2,0,0,7,0,1
33,0,0,0,24,5,0,5,1,3,2,2
39,1,1,0,6,4,0,0,0,2,2,7
27,1,0,0,24,4,3,1,0,4,1,7
28,0,0,0,15,4,2,6,0,11,2,1
30,0,0,0,18,5,0,6,1,2,3,10
26,0,0,0,24,4,3,0,1,0,1,1
30,0,0,0,24,4,0,6,0,3,0,1
26,0,0,0,24,5,2,1,0,6,0,4
27,0,1,0,18,5,0,1,0,3,2,8
27,0,1,0,23,5,2,1,0,12,1,1
49,0,0,0,16,4,0,6,0,1,0,2
52,0,0,0,18,4,3,6,0,8,2,3
34,1,1,0,24,6,4,1,0,6,2,6
40,0,0,0,24,5,2,0,0,7,0,0
32,0,0,0,12,5,0,1,0,3,2,5
28,0,0,0,24,4,3,2,0,11,0,0
39,0,1,0,24,4,2,1,5,0,3,6
33,0,0,0,23,5,0,0,0,5,1,4
47,1,0,0,20,6,1,2,0,2,3,0
46,0,1,0,4,4,3,6,5,0,1,7
25,0,0,0,12,5,0,1,0,11,0,1
26,0,0,0,10,5,2,1,0,10,0,0
45,0,0,0,24,6,2,6,0,5,1,2
22,0,4,0,24,4,2,0,1,2,0,4
31,1,0,0,18,4,2,1,0,4,1,1
44,1,1,0,4,5,7,0,1,0,1,1
27,0,1,0,15,5,3,1,0,13,1,0
30,0,2,0,24,4,2,1,0,11,0,0
37,1,0,0,24,6,4,1,0,3,2,2
29,0,0,0,12,5,0,1,0,3,2,5
20,0,0,0,18,4,0,3,0,4,2,2
26,0,0,0,24,5,2,1,0,11,2,3
37,0,0,0,12,5,0,4,0,3,0,4
18,0,2,0,24,4,0,3,0,7,1,6
30,0,0,0,15,5,3,6,0,2,2,4
29,0,0,0,23,5,3,1,0,12,3,10
37,0,0,0,12,6,8,1,0,4,1,5
32,0,0,0,12,5,0,5,0,2,2,4
27,1,1,0,24,4,2,1,0,2,0,0
37,0,0,0,6,5,0,5,6,4,0,5
27,0,0,0,24,4,0,1,0,2,2,9
42,0,1,0,5,4,3,3,0,2,0,8
32,0,0,0,15,4,3,1,0,3,1,5
28,0,1,0,12,4,3,1,0,1,2,0
28,0,1,0,24,4,0,0,0,4,1,1
29,0,0,0,24,4,2,2,0,12,0,1
29,1,0,0,24,6,1,3,0,5,2,2
39,0,0,0,15,5,3,6,0,4,2,4
22,0,0,0,24,6,5,6,0,7,0,10
30,1,2,0,24,6,0,1,2,6,2,7
30,0,0,0,24,5,8,1,0,2,0,4
32,0,0,0,23,4,0,2,0,6,2,2
30,0,0,0,23,4,1,4,0,4,1,5
29,0,0,0,5,5,6,3,0,4,3,0
28,0,2,0,18,4,4,0,0,2,2,0
42,1,0,0,20,6,6,1,0,5,2,2
30,0,1,0,24,4,3,6,0,3,2,3
29,0,0,0,24,5,8,4,0,8,2,7
35,0,5,0,24,5,8,1,0,2,1,6
35,0,5,0,24,4,0,5,0,4,1,4
28,0,0,0,24,5,2,1,0,0,0,1
27,0,2,0,25,5,3,1,0,2,1,0
26,1,1,0,5,5,2,0,0,5,3,10
22,0,1,0,7,4,0,2,0,3,1,3
32,0,0,0,24,6,2,2,0,2,1,4
31,0,0,0,5,4,2,0,0,6,1,7
26,0,0,0,12,4,0,1,0,6,0,10
32,0,0,0,23,5,0,6,2,8,1,3
38,0,0,0,4,5,0,1,0,1,0,1
31,0,0,0,24,4,3,1,0,4,2,5
34,1,1,0,24,6,0,4,0,4,2,5
43,1,3,0,12,5,0,0,0,3,3,10
24,1,2,0,8,4,3,2,1,5,1,10
22,0,2,0,3,4,0,1,0,11,2,4
29,1,0,0,20,4,0,2,0,1,3,4
32,0,0,0,18,5,2,2,0,5,0,3
39,1,0,0,24,5,1,6,1,4,1,4
34,1,0,0,24,4,0,2,0,5,2,2
26,1,1,0,15,4,2,1,0,1,2,1
28,0,0,0,24,4,0,3,0,1,1,3
34,1,0,0,20,6,6,1,0,10,1,1
29,1,0,0,20,5,0,6,0,2,2,5
23,0,1,0,18,4,1,0,0,4,2,7
31,0,0,0,24,5,2,3,0,2,2,4
