idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
27.0,masculino,parda,0,True,saopaulo(sp),mestrado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de3a4anos,clojure,"datomic,hive,splunk,amazonredshift,postgresql,dynamodb,presto,s3,cruxdb",amazonwebservices(aws),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
27.0,masculino,branca,0,True,riograndedosul(rs),mestrado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de3a4anos,python,"oracle,s3,dynamodb,amazonredshift,amazonathena",amazonwebservices(aws),cientistadedados/datascientist
23.0,masculino,branca,0,True,sergipe(se),estudantedegraduacao,outrasengenharias,menosde1ano,python,"databricks,googlebigquery",googlecloud(gcp),analyticsengineer
22.0,masculino,preta,0,True,saopaulo(sp),estudantedegraduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,menosde1ano,python,"googlebigquery,mysql",googlecloud(gcp),analistadebi/bianalyst
42.0,masculino,preta,0,True,saopaulo(sp),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,menosde1ano,python,"sqlserver,progress",naoseiopinar,desenvolvedor/engenheirodesoftware/analistadesistemas
25.0,masculino,branca,0,True,saopaulo(sp),graduacao/bacharelado,outrasengenharias,de3a4anos,r,"s3,amazonredshift,cassandra",amazonwebservices(aws),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
26.0,masculino,branca,0,True,saopaulo(sp),pos-graduacao,outrasengenharias,de3a4anos,python,postgresql,amazonwebservices(aws),desenvolvedor/engenheirodesoftware/analistadesistemas
34.0,masculino,branca,0,False,,pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,r,oracle,amazonwebservices(aws),analistadenegocios/businessanalyst
36.0,feminino,prefironaoinformar,0,True,matogrosso(mt),doutoradoouphd,cienciasbiologicas/farmacia/medicina/areadasaude,de3a4anos,python,"s3,amazonathena",amazonwebservices(aws),cientistadedados/datascientist
21.0,feminino,parda,0,True,santacatarina(sc),estudantedegraduacao,economia/administracao/contabilidade/financas/negocios,de1a2anos,python,microsoftaccess,googlecloud(gcp),analistademarketing
29.0,feminino,parda,0,True,saopaulo(sp),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,googlebigquery,googlecloud(gcp),productmanager/productowner(pm/apm/dpm/gpm/po)
29.0,masculino,branca,0,True,minasgerais(mg),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,"databricks,sqlserver",googlecloud(gcp),analistadebi/bianalyst
27.0,feminino,parda,0,True,saopaulo(sp),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de4a6anos,python,googlebigquery,googlecloud(gcp),analistadenegocios/businessanalyst
25.0,masculino,parda,0,True,saopaulo(sp),graduacao/bacharelado,economia/administracao/contabilidade/financas/negocios,de1a2anos,python,databricks,azure(microsoft),productmanager/productowner(pm/apm/dpm/gpm/po)
30.0,masculino,parda,0,True,saopaulo(sp),estudantedegraduacao,outrasengenharias,de4a6anos,python,"amazonauroraourds,mysql,snowflake,oracle,amazonredshift,sqlserver,elaticsearch,amazonathena,s3,databricks,hive,googlebigquery,cassandra",googlecloud(gcp),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
25.0,masculino,branca,0,True,riodejaneiro(rj),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,menosde1ano,python,"databricks,sqlserver,sqlite,mysql",azure(microsoft),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
24.0,masculino,branca,0,True,parana(pr),graduacao/bacharelado,outrasengenharias,de1a2anos,python,"oracle,amazonredshift,snowflake,postgresql",amazonwebservices(aws),analistadebi/bianalyst
31.0,masculino,branca,0,True,saopaulo(sp),doutoradoouphd,outrasengenharias,de1a2anos,python,"postgresql,amazonredshift,dynamodb",amazonwebservices(aws),cientistadedados/datascientist
31.0,masculino,parda,0,True,minasgerais(mg),graduacao/bacharelado,economia/administracao/contabilidade/financas/negocios,de1a2anos,python,sqlserver,amazonwebservices(aws),analistadeinteligenciademercado/marketintelligence
33.0,masculino,branca,0,True,saopaulo(sp),pos-graduacao,outrasengenharias,de3a4anos,r,"microsoftaccess,amazonredshift,sqlserver",amazonwebservices(aws),analistadedados/dataanalyst
47.0,feminino,preta,0,True,saopaulo(sp),graduacao/bacharelado,outraopcao,de1a2anos,python,"databricks,snowflake,s3",amazonwebservices(aws),analistadedados/dataanalyst
22.0,masculino,preta,0,True,riodejaneiro(rj),estudantedegraduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,"sqlserver,s3,mysql,amazonathena",amazonwebservices(aws),analistadedados/dataanalyst
26.0,masculino,parda,0,True,riograndedonorte(rn),graduacao/bacharelado,outrasengenharias,menosde1ano,python,"postgresql,mysql,sqlserver",amazonwebservices(aws),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
,masculino,parda,0,True,saopaulo(sp),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,menosde1ano,python,"mongodb,saphana,googlebigquery,dynamodb",googlecloud(gcp),cientistadedados/datascientist
31.0,feminino,branca,0,True,santacatarina(sc),graduacao/bacharelado,outraopcao,naotenhoexperiencianaareadedados,python,"microsoftaccess,googlebigquery",googlecloud(gcp),outraopcao
37.0,feminino,amarela,0,True,saopaulo(sp),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,"postgresql,googlebigquery,mongodb",googlecloud(gcp),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
26.0,feminino,branca,0,True,riodejaneiro(rj),mestrado,estatistica/matematica/matematicacomputacional/cienciasatuariais,de3a4anos,python,amazonathena,amazonwebservices(aws),cientistadedados/datascientist
32.0,masculino,branca,0,True,saopaulo(sp),pos-graduacao,economia/administracao/contabilidade/financas/negocios,de4a6anos,r,"amazonredshift,snowflake,databricks",amazonwebservices(aws),analistadedados/dataanalyst
,masculino,branca,0,True,pernambuco(pe),doutoradoouphd,computacao/engenhariadesoftware/sistemasdeinformacao/ti,menosde1ano,python,"sqlite,hive,googlebigquery,postgresql,mysql,mongodb",azure(microsoft),cientistadedados/datascientist
28.0,feminino,branca,0,True,minasgerais(mg),graduacao/bacharelado,marketing/publicidade/comunicacao/jornalismo,de3a4anos,python,firebase,naoseiopinar,analistademarketing
24.0,masculino,parda,0,True,saopaulo(sp),graduacao/bacharelado,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,dali-hpccsystem,amazonwebservices(aws),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
32.0,feminino,branca,0,True,saopaulo(sp),doutoradoouphd,cienciasbiologicas/farmacia/medicina/areadasaude,menosde1ano,r,"oracle,databricks",googlecloud(gcp),analistadedados/dataanalyst
34.0,masculino,branca,0,True,saopaulo(sp),graduacao/bacharelado,outrasengenharias,de1a2anos,python,"mysql,sqlite,s3",amazonwebservices(aws),cientistadedados/datascientist
44.0,feminino,preta,0,True,riograndedosul(rs),doutoradoouphd,outrasengenharias,menosde1ano,r,databricks,azure(microsoft),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
26.0,masculino,branca,0,False,,mestrado,outrasengenharias,de4a6anos,python,"sqlserver,amazonauroraourds,s3,amazonredshift,mongodb,sqlite,databricks,snowflake,googlebigquery,postgresql,oracle,amazonathena,mysql",amazonwebservices(aws),engenheirodedados/arquitetodedados/dataengineer/dataarchitect
31.0,feminino,preta,0,True,bahia(ba),pos-graduacao,computacao/engenhariadesoftware/sistemasdeinformacao/ti,de1a2anos,python,"mysql,sqlserver",naoseiopinar,analistadedados/dataanalyst
39.0,feminino,preta,0,True,minasgerais(mg),pos-graduacao,estatistica/matematica/matematicacomputacional/cienciasatuariais,maisde10anos,python,sqlserver,googlecloud(gcp),analistadedados/dataanalyst
29.0,masculino,branca,0,True,saopaulo(sp),graduacao/bacharelado,economia/administracao/contabilidade/financas/negocios,de4a6anos,sql,"postgresql,googlebigquery,saphana",googlecloud(gcp),analistadebi/bianalyst
36.0,feminino,preta,0,True,riodejaneiro(rj),mestrado,outrasengenharias,de1a2anos,python,googlebigquery,amazonwebservices(aws),cientistadedados/datascientist
22.0,feminino,parda,0,True,saopaulo(sp),estudantedegraduacao,quimica/fisica,naotenhoexperiencianaareadedados,python,dadosnaoestruturados,googlecloud(gcp),professor
28.0,masculino,preta,0,True,minasgerais(mg),graduacao/bacharelado,estatistica/matematica/matematicacomputacional/cienciasatuariais,de1a2anos,r,"amazonathena,amazonredshift,mysql,amazonauroraourds",amazonwebservices(aws),analistadedados/dataanalyst
31.0,masculino,parda,0,True,saopaulo(sp),graduacao/bacharelado,outrasengenharias,de3a4anos,r,snowflake,amazonwebservices(aws),analistadedados/dataanalyst
